0001	patch_embed.proj	Conv3d	(1, 384, 16, 14, 14)
0002	pos_drop	Dropout	(1, 3137, 384)
0003	layers.0.norm	LayerNorm	(1, 3137, 384)
0004	layers.0.mixer.x_proj	Linear	(3137, 56)
0005	layers.0.mixer.x_proj_b	Linear	(3137, 56)
0006	block_spikes.0	SpikingNeuron3dSeq	(1, 3137, 384)
0007	layers.1.drop_path	Identity	(1, 3137, 384)
0008	layers.1.norm	LayerNorm	(1, 3137, 384)
0009	layers.1.mixer.x_proj	Linear	(3137, 56)
0010	layers.1.mixer.x_proj_b	Linear	(3137, 56)
0011	block_spikes.1	SpikingNeuron3dSeq	(1, 3137, 384)
0012	layers.2.drop_path	DropPath	(1, 3137, 384)
0013	layers.2.norm	LayerNorm	(1, 3137, 384)
0014	layers.2.mixer.x_proj	Linear	(3137, 56)
0015	layers.2.mixer.x_proj_b	Linear	(3137, 56)
0016	layers.3.drop_path	DropPath	(1, 3137, 384)
0017	layers.3.norm	LayerNorm	(1, 3137, 384)
0018	layers.3.mixer.x_proj	Linear	(3137, 56)
0019	layers.3.mixer.x_proj_b	Linear	(3137, 56)
0020	layers.4.drop_path	DropPath	(1, 3137, 384)
0021	layers.4.norm	LayerNorm	(1, 3137, 384)
0022	layers.4.mixer.x_proj	Linear	(3137, 56)
0023	layers.4.mixer.x_proj_b	Linear	(3137, 56)
0024	layers.5.drop_path	DropPath	(1, 3137, 384)
0025	layers.5.norm	LayerNorm	(1, 3137, 384)
0026	layers.5.mixer.x_proj	Linear	(3137, 56)
0027	layers.5.mixer.x_proj_b	Linear	(3137, 56)
0028	layers.6.drop_path	DropPath	(1, 3137, 384)
0029	layers.6.norm	LayerNorm	(1, 3137, 384)
0030	layers.6.mixer.x_proj	Linear	(3137, 56)
0031	layers.6.mixer.x_proj_b	Linear	(3137, 56)
0032	layers.7.drop_path	DropPath	(1, 3137, 384)
0033	layers.7.norm	LayerNorm	(1, 3137, 384)
0034	layers.7.mixer.x_proj	Linear	(3137, 56)
0035	layers.7.mixer.x_proj_b	Linear	(3137, 56)
0036	layers.8.drop_path	DropPath	(1, 3137, 384)
0037	layers.8.norm	LayerNorm	(1, 3137, 384)
0038	layers.8.mixer.x_proj	Linear	(3137, 56)
0039	layers.8.mixer.x_proj_b	Linear	(3137, 56)
0040	layers.9.drop_path	DropPath	(1, 3137, 384)
0041	layers.9.norm	LayerNorm	(1, 3137, 384)
0042	layers.9.mixer.x_proj	Linear	(3137, 56)
0043	layers.9.mixer.x_proj_b	Linear	(3137, 56)
0044	layers.10.drop_path	DropPath	(1, 3137, 384)
0045	layers.10.norm	LayerNorm	(1, 3137, 384)
0046	layers.10.mixer.x_proj	Linear	(3137, 56)
0047	layers.10.mixer.x_proj_b	Linear	(3137, 56)
0048	layers.11.drop_path	DropPath	(1, 3137, 384)
0049	layers.11.norm	LayerNorm	(1, 3137, 384)
0050	layers.11.mixer.x_proj	Linear	(3137, 56)
0051	layers.11.mixer.x_proj_b	Linear	(3137, 56)
0052	layers.12.drop_path	DropPath	(1, 3137, 384)
0053	layers.12.norm	LayerNorm	(1, 3137, 384)
0054	layers.12.mixer.x_proj	Linear	(3137, 56)
0055	layers.12.mixer.x_proj_b	Linear	(3137, 56)
