0001	patch_embed.proj	Conv3d	(1, 384, 16, 14, 14)
0002	pos_drop	Dropout	(1, 3137, 384)
0003	layers.0.norm	LayerNorm	(1, 3137, 384)
0004	layers.0.mixer.x_proj	Linear	(3137, 56)
0005	layers.0.mixer.x_proj_b	Linear	(3137, 56)
0006	block_spikes.0	SpikingNeuron3dSeq	(1, 3137, 384)
0007	layers.1.drop_path	Identity	(1, 3137, 384)
0008	layers.1.norm	LayerNorm	(1, 3137, 384)
0009	layers.1.mixer.x_proj	Linear	(3137, 56)
0010	layers.1.mixer.x_proj_b	Linear	(3137, 56)
0011	block_spikes.1	SpikingNeuron3dSeq	(1, 3137, 384)
0012	layers.2.drop_path	DropPath	(1, 3137, 384)
0013	layers.2.norm	LayerNorm	(1, 3137, 384)
0014	layers.2.mixer.x_proj	Linear	(3137, 56)
0015	layers.2.mixer.x_proj_b	Linear	(3137, 56)
0016	block_spikes.2	SpikingNeuron3dSeq	(1, 3137, 384)
0017	layers.3.drop_path	DropPath	(1, 3137, 384)
0018	layers.3.norm	LayerNorm	(1, 3137, 384)
0019	layers.3.mixer.x_proj	Linear	(3137, 56)
0020	layers.3.mixer.x_proj_b	Linear	(3137, 56)
0021	block_spikes.3	SpikingNeuron3dSeq	(1, 3137, 384)
0022	layers.4.drop_path	DropPath	(1, 3137, 384)
0023	layers.4.norm	LayerNorm	(1, 3137, 384)
0024	layers.4.mixer.x_proj	Linear	(3137, 56)
0025	layers.4.mixer.x_proj_b	Linear	(3137, 56)
0026	layers.5.drop_path	DropPath	(1, 3137, 384)
0027	layers.5.norm	LayerNorm	(1, 3137, 384)
0028	layers.5.mixer.x_proj	Linear	(3137, 56)
0029	layers.5.mixer.x_proj_b	Linear	(3137, 56)
0030	layers.6.drop_path	DropPath	(1, 3137, 384)
0031	layers.6.norm	LayerNorm	(1, 3137, 384)
0032	layers.6.mixer.x_proj	Linear	(3137, 56)
0033	layers.6.mixer.x_proj_b	Linear	(3137, 56)
0034	layers.7.drop_path	DropPath	(1, 3137, 384)
0035	layers.7.norm	LayerNorm	(1, 3137, 384)
0036	layers.7.mixer.x_proj	Linear	(3137, 56)
0037	layers.7.mixer.x_proj_b	Linear	(3137, 56)
0038	layers.8.drop_path	DropPath	(1, 3137, 384)
0039	layers.8.norm	LayerNorm	(1, 3137, 384)
0040	layers.8.mixer.x_proj	Linear	(3137, 56)
0041	layers.8.mixer.x_proj_b	Linear	(3137, 56)
0042	layers.9.drop_path	DropPath	(1, 3137, 384)
0043	layers.9.norm	LayerNorm	(1, 3137, 384)
0044	layers.9.mixer.x_proj	Linear	(3137, 56)
0045	layers.9.mixer.x_proj_b	Linear	(3137, 56)
0046	layers.10.drop_path	DropPath	(1, 3137, 384)
0047	layers.10.norm	LayerNorm	(1, 3137, 384)
0048	layers.10.mixer.x_proj	Linear	(3137, 56)
0049	layers.10.mixer.x_proj_b	Linear	(3137, 56)
0050	layers.11.drop_path	DropPath	(1, 3137, 384)
0051	layers.11.norm	LayerNorm	(1, 3137, 384)
0052	layers.11.mixer.x_proj	Linear	(3137, 56)
0053	layers.11.mixer.x_proj_b	Linear	(3137, 56)
0054	layers.12.drop_path	DropPath	(1, 3137, 384)
0055	layers.12.norm	LayerNorm	(1, 3137, 384)
